user_id,duration,average_speedList,Type
1,101,8.10653251,Human
1,22326,9.477022199999999,Human
1,81,6.3774713400000005,Human
2,20,15.15,Human
2,30,4.561086100000001,Human
4,101,3.8344635,Human
4,114,1.319437856666667,Human
4,239,1.5355352999999998,Human
4,981,1.6200424120338983,Human
4,18,0.44444445,Human
4,20,1.6,Human
4,134,4.84885464375,Human
2,115,7.847152114285714,Human
5,33,8.7996323,Human
5,85,7.829803979999999,Human
5,33,10.351103,Human
9,200,0.8634528640909092,Human
12,183,3.9387391345454548,Human
14,17722,5.9558824,Human
14,333,9.201388825,Human
14,66,9.191176500000001,Human
14,100,9.191176500000001,Human
14,16,6.25,Human
14,33,6.0661765,Human
14,34,5.882353,Human
14,33,6.0661765,Human
14,84,11.764705500000002,Human
18,200,2.7487650958333334,Human
19,300,0.7463235333333333,Human
19,317,1.0660431673684212,Human
19,66,0.7251838375,Human
19,198,1.1194376333333331,Human
19,151,2.2642974222222225,Human
19,418,0.8133823616,Human
19,200,1.7038058166666668,Human
19,100,5.551402566666667,Human
19,151,3.0235203333333334,Human
20,233,1.28416785,Human
20,217,1.379524858461538,Human
20,234,1.2820377971428571,Human
20,233,0.6704306785714286,Human
20,200,1.4846813908333332,Human
20,248,1.197195006,Human
20,213,0.9265817769230769,Human
20,223,0.891514937857143,Human
26,232,1.7286122742857142,Human
26,235,2.5999825792857143,Human
26,186,3.9472593290909086,Human
26,132,3.1948765,Human
32,84,4.0539216,Human
32,67,0.92222225,Human
32,33,0.66911765,Human
32,151,1.2025236222222224,Human
32,17,0.7647059,Human
32,166,1.338039227,Human
32,84,2.51413398,Human
32,51,1.6078431333333334,Human
32,52,1.3191721666666665,Human
32,84,3.7583660200000004,Human
32,84,2.67214056,Human
38,150,3.1805101888888885,Human
38,168,1.7147059099999997,Human
38,168,2.2653594999999997,Human
43,252,1.4618802906250001,Human
56,283,0.07400507730769229,Human
56,283,0.3535258020588235,Human
6,135,5.86264292,Human
6,135,5.86264292,Human
